101,Amit,Savings,Deposit,5000,Patna
102,Neha,Current,Withdrawal,2000,Delhi
103,Ravi,Savings,Deposit,7000,Mumbai
104,Priya,Savings,Transfer,3000,Kolkata
105,Sohan,Current,Deposit,10000,Patna
106,Anjali,Savings,Withdrawal,1500,Delhi
107,Vikas,Current,Transfer,4000,Mumbai
108,Pooja,Savings,Deposit,8000,Kolkata
109,Rahul,Savings,Withdrawal,2500,Patna
110,Sneha,Current,Deposit,12000,Delhi
111,Karan,Savings,Transfer,3500,Mumbai
112,Nisha,Savings,Deposit,9000,Kolkata
113,Arjun,Current,Withdrawal,3000,Patna
114,Meena,Savings,Deposit,6500,Delhi
115,Rohit,Current,Transfer,4500,Mumbai
116,Simran,Savings,Withdrawal,2200,Kolkata
117,Deepak,Savings,Deposit,11000,Patna
118,Kavita,Current,Deposit,13000,Delhi
119,Manoj,Savings,Transfer,5000,Mumbai
120,Tina,Savings,Deposit,7500,Kolkata
121,Pooja,Savings,Deposit,9000,Kolkata
122,Rahul,Savings,Withdrawal,1500,Patna
123,Vikas,Current,Transfer,3000,Mumbai
124,Pooja,Savings,Withdrawal,5000,Kolkata
125,Arjun,Current,Transfer,2000,Patna
